City,Total,Man,Woman,Year
Deutschland,844439.0,397651.0,446788.0,2008
  Rheinland-Pfalz,42932.0,20360.0,22572.0,2008
"    Koblenz, Stat. Region",16697.0,7926.0,8771.0,2008
"      Koblenz, kreisfreie Stadt",1279.0,573.0,706.0,2008
"      Ahrweiler, Landkreis",1434.0,670.0,764.0,2008
"      Altenkirchen (Westerwald), Landkreis",1554.0,752.0,802.0,2008
"      Bad Kreuznach, Landkreis",1774.0,838.0,936.0,2008
"      Birkenfeld, Landkreis",1116.0,548.0,568.0,2008
"      Cochem-Zell, Landkreis",758.0,360.0,398.0,2008
"      Mayen-Koblenz, Landkreis",2230.0,1109.0,1121.0,2008
"      Neuwied, Landkreis",1976.0,921.0,1055.0,2008
      Rhein-Hunsrück-Kreis,1060.0,508.0,552.0,2008
      Rhein-Lahn-Kreis,1428.0,677.0,751.0,2008
      Westerwaldkreis,2088.0,970.0,1118.0,2008
"    Trier, Stat. Region",5444.0,2524.0,2920.0,2008
"      Trier, kreisfreie Stadt",1028.0,481.0,547.0,2008
"      Bernkastel-Wittlich, Landkreis",1176.0,550.0,626.0,2008
      Eifelkreis Bitburg-Prüm,1066.0,478.0,588.0,2008
"      Vulkaneifel, Landkreis",738.0,344.0,394.0,2008
"      Trier-Saarburg, Landkreis",1436.0,671.0,765.0,2008
"    Rheinhessen-Pfalz, Stat. Region",20791.0,9910.0,10881.0,2008
"      Frankenthal (Pfalz), kreisfreie Stadt",513.0,249.0,264.0,2008
"      Kaiserslautern, kreisfreie Stadt",1131.0,536.0,595.0,2008
"      Landau in der Pfalz, kreisfreie Stadt",440.0,198.0,242.0,2008
"      Ludwigshafen am Rhein, kreisfreie Stadt",1670.0,790.0,880.0,2008
"      Mainz, kreisfreie Stadt",1744.0,791.0,953.0,2008
"      Neustadt an der Weinstraße, kreisfreie Stadt",619.0,290.0,329.0,2008
"      Pirmasens, kreisfreie Stadt",653.0,311.0,342.0,2008
"      Speyer, kreisfreie Stadt",570.0,250.0,320.0,2008
"      Worms, kreisfreie Stadt",896.0,446.0,450.0,2008
"      Zweibrücken, kreisfreie Stadt",389.0,176.0,213.0,2008
"      Alzey-Worms, Landkreis",1134.0,530.0,604.0,2008
"      Bad Dürkheim, Landkreis",1408.0,646.0,762.0,2008
      Donnersbergkreis,831.0,408.0,423.0,2008
"      Germersheim, Landkreis",1108.0,564.0,544.0,2008
"      Kaiserslautern, Landkreis",1207.0,607.0,600.0,2008
"      Kusel, Landkreis",969.0,445.0,524.0,2008
"      Südliche Weinstraße, Landkreis",1075.0,507.0,568.0,2008
      Rhein-Pfalz-Kreis,1469.0,710.0,759.0,2008
"      Mainz-Bingen, Landkreis",1840.0,905.0,935.0,2008
"      Südwestpfalz, Landkreis",1125.0,551.0,574.0,2008
Deutschland,854544.0,404969.0,449575.0,2009
  Rheinland-Pfalz,43903.0,20637.0,23266.0,2009
"    Koblenz, Stat. Region",17359.0,8079.0,9280.0,2009
"      Koblenz, kreisfreie Stadt",1279.0,558.0,721.0,2009
"      Ahrweiler, Landkreis",1555.0,699.0,856.0,2009
"      Altenkirchen (Westerwald), Landkreis",1535.0,715.0,820.0,2009
"      Bad Kreuznach, Landkreis",1806.0,861.0,945.0,2009
"      Birkenfeld, Landkreis",1113.0,552.0,561.0,2009
"      Cochem-Zell, Landkreis",823.0,401.0,422.0,2009
"      Mayen-Koblenz, Landkreis",2288.0,1039.0,1249.0,2009
"      Neuwied, Landkreis",2108.0,983.0,1125.0,2009
      Rhein-Hunsrück-Kreis,1153.0,522.0,631.0,2009
      Rhein-Lahn-Kreis,1520.0,731.0,789.0,2009
      Westerwaldkreis,2179.0,1018.0,1161.0,2009
"    Trier, Stat. Region",5557.0,2631.0,2926.0,2009
"      Trier, kreisfreie Stadt",1041.0,494.0,547.0,2009
"      Bernkastel-Wittlich, Landkreis",1246.0,577.0,669.0,2009
      Eifelkreis Bitburg-Prüm,1044.0,479.0,565.0,2009
"      Vulkaneifel, Landkreis",821.0,385.0,436.0,2009
"      Trier-Saarburg, Landkreis",1405.0,696.0,709.0,2009
"    Rheinhessen-Pfalz, Stat. Region",20987.0,9927.0,11060.0,2009
"      Frankenthal (Pfalz), kreisfreie Stadt",503.0,268.0,235.0,2009
"      Kaiserslautern, kreisfreie Stadt",1142.0,535.0,607.0,2009
"      Landau in der Pfalz, kreisfreie Stadt",480.0,197.0,283.0,2009
"      Ludwigshafen am Rhein, kreisfreie Stadt",1644.0,797.0,847.0,2009
"      Mainz, kreisfreie Stadt",1714.0,792.0,922.0,2009
"      Neustadt an der Weinstraße, kreisfreie Stadt",539.0,242.0,297.0,2009
"      Pirmasens, kreisfreie Stadt",674.0,288.0,386.0,2009
"      Speyer, kreisfreie Stadt",596.0,284.0,312.0,2009
"      Worms, kreisfreie Stadt",920.0,429.0,491.0,2009
"      Zweibrücken, kreisfreie Stadt",405.0,205.0,200.0,2009
"      Alzey-Worms, Landkreis",1207.0,570.0,637.0,2009
"      Bad Dürkheim, Landkreis",1536.0,741.0,795.0,2009
      Donnersbergkreis,875.0,429.0,446.0,2009
"      Germersheim, Landkreis",1150.0,555.0,595.0,2009
"      Kaiserslautern, Landkreis",1173.0,566.0,607.0,2009
"      Kusel, Landkreis",903.0,415.0,488.0,2009
"      Südliche Weinstraße, Landkreis",1152.0,548.0,604.0,2009
      Rhein-Pfalz-Kreis,1554.0,748.0,806.0,2009
"      Mainz-Bingen, Landkreis",1779.0,825.0,954.0,2009
"      Südwestpfalz, Landkreis",1041.0,493.0,548.0,2009
Deutschland,858768.0,409022.0,449746.0,2010
  Rheinland-Pfalz,43465.0,20825.0,22640.0,2010
"    Koblenz, Stat. Region",17058.0,8105.0,8953.0,2010
"      Koblenz, kreisfreie Stadt",1273.0,559.0,714.0,2010
"      Ahrweiler, Landkreis",1559.0,775.0,784.0,2010
"      Altenkirchen (Westerwald), Landkreis",1543.0,700.0,843.0,2010
"      Bad Kreuznach, Landkreis",1750.0,833.0,917.0,2010
"      Birkenfeld, Landkreis",1077.0,516.0,561.0,2010
"      Cochem-Zell, Landkreis",803.0,401.0,402.0,2010
"      Mayen-Koblenz, Landkreis",2300.0,1137.0,1163.0,2010
"      Neuwied, Landkreis",1967.0,912.0,1055.0,2010
      Rhein-Hunsrück-Kreis,1156.0,562.0,594.0,2010
      Rhein-Lahn-Kreis,1444.0,678.0,766.0,2010
      Westerwaldkreis,2186.0,1032.0,1154.0,2010
"    Trier, Stat. Region",5568.0,2647.0,2921.0,2010
"      Trier, kreisfreie Stadt",1117.0,486.0,631.0,2010
"      Bernkastel-Wittlich, Landkreis",1189.0,612.0,577.0,2010
      Eifelkreis Bitburg-Prüm,1121.0,544.0,577.0,2010
"      Vulkaneifel, Landkreis",747.0,343.0,404.0,2010
"      Trier-Saarburg, Landkreis",1394.0,662.0,732.0,2010
"    Rheinhessen-Pfalz, Stat. Region",20839.0,10073.0,10766.0,2010
"      Frankenthal (Pfalz), kreisfreie Stadt",516.0,239.0,277.0,2010
"      Kaiserslautern, kreisfreie Stadt",1137.0,548.0,589.0,2010
"      Landau in der Pfalz, kreisfreie Stadt",453.0,210.0,243.0,2010
"      Ludwigshafen am Rhein, kreisfreie Stadt",1603.0,842.0,761.0,2010
"      Mainz, kreisfreie Stadt",1752.0,839.0,913.0,2010
"      Neustadt an der Weinstraße, kreisfreie Stadt",571.0,255.0,316.0,2010
"      Pirmasens, kreisfreie Stadt",623.0,296.0,327.0,2010
"      Speyer, kreisfreie Stadt",585.0,260.0,325.0,2010
"      Worms, kreisfreie Stadt",891.0,419.0,472.0,2010
"      Zweibrücken, kreisfreie Stadt",413.0,190.0,223.0,2010
"      Alzey-Worms, Landkreis",1180.0,561.0,619.0,2010
"      Bad Dürkheim, Landkreis",1522.0,749.0,773.0,2010
      Donnersbergkreis,792.0,381.0,411.0,2010
"      Germersheim, Landkreis",1136.0,546.0,590.0,2010
"      Kaiserslautern, Landkreis",1192.0,627.0,565.0,2010
"      Kusel, Landkreis",928.0,452.0,476.0,2010
"      Südliche Weinstraße, Landkreis",1123.0,536.0,587.0,2010
      Rhein-Pfalz-Kreis,1458.0,699.0,759.0,2010
"      Mainz-Bingen, Landkreis",1871.0,881.0,990.0,2010
"      Südwestpfalz, Landkreis",1093.0,543.0,550.0,2010
Deutschland,852328.0,407628.0,444700.0,2011
  Rheinland-Pfalz,43645.0,20863.0,22782.0,2011
"    Koblenz, Stat. Region",17017.0,8066.0,8951.0,2011
"      Koblenz, kreisfreie Stadt",1228.0,544.0,684.0,2011
"      Ahrweiler, Landkreis",1501.0,712.0,789.0,2011
"      Altenkirchen (Westerwald), Landkreis",1629.0,789.0,840.0,2011
"      Bad Kreuznach, Landkreis",1774.0,842.0,932.0,2011
"      Birkenfeld, Landkreis",1100.0,529.0,571.0,2011
"      Cochem-Zell, Landkreis",793.0,390.0,403.0,2011
"      Mayen-Koblenz, Landkreis",2162.0,987.0,1175.0,2011
"      Neuwied, Landkreis",2020.0,975.0,1045.0,2011
      Rhein-Hunsrück-Kreis,1172.0,554.0,618.0,2011
      Rhein-Lahn-Kreis,1446.0,709.0,737.0,2011
      Westerwaldkreis,2192.0,1035.0,1157.0,2011
"    Trier, Stat. Region",5543.0,2680.0,2863.0,2011
"      Trier, kreisfreie Stadt",1073.0,505.0,568.0,2011
"      Bernkastel-Wittlich, Landkreis",1167.0,587.0,580.0,2011
      Eifelkreis Bitburg-Prüm,1157.0,546.0,611.0,2011
"      Vulkaneifel, Landkreis",711.0,378.0,333.0,2011
"      Trier-Saarburg, Landkreis",1435.0,664.0,771.0,2011
"    Rheinhessen-Pfalz, Stat. Region",21085.0,10117.0,10968.0,2011
"      Frankenthal (Pfalz), kreisfreie Stadt",515.0,263.0,252.0,2011
"      Kaiserslautern, kreisfreie Stadt",1189.0,597.0,592.0,2011
"      Landau in der Pfalz, kreisfreie Stadt",443.0,196.0,247.0,2011
"      Ludwigshafen am Rhein, kreisfreie Stadt",1666.0,821.0,845.0,2011
"      Mainz, kreisfreie Stadt",1657.0,773.0,884.0,2011
"      Neustadt an der Weinstraße, kreisfreie Stadt",594.0,284.0,310.0,2011
"      Pirmasens, kreisfreie Stadt",661.0,305.0,356.0,2011
"      Speyer, kreisfreie Stadt",605.0,264.0,341.0,2011
"      Worms, kreisfreie Stadt",866.0,387.0,479.0,2011
"      Zweibrücken, kreisfreie Stadt",445.0,217.0,228.0,2011
"      Alzey-Worms, Landkreis",1279.0,601.0,678.0,2011
"      Bad Dürkheim, Landkreis",1587.0,755.0,832.0,2011
      Donnersbergkreis,811.0,369.0,442.0,2011
"      Germersheim, Landkreis",1133.0,601.0,532.0,2011
"      Kaiserslautern, Landkreis",1182.0,570.0,612.0,2011
"      Kusel, Landkreis",889.0,400.0,489.0,2011
"      Südliche Weinstraße, Landkreis",1157.0,562.0,595.0,2011
      Rhein-Pfalz-Kreis,1489.0,720.0,769.0,2011
"      Mainz-Bingen, Landkreis",1813.0,881.0,932.0,2011
"      Südwestpfalz, Landkreis",1104.0,551.0,553.0,2011
Deutschland,869582.0,416423.0,453159.0,2012
  Rheinland-Pfalz,44404.0,21195.0,23209.0,2012
"    Koblenz, Stat. Region",17492.0,8320.0,9172.0,2012
"      Koblenz, kreisfreie Stadt",1250.0,547.0,703.0,2012
"      Ahrweiler, Landkreis",1577.0,752.0,825.0,2012
"      Altenkirchen (Westerwald), Landkreis",1596.0,773.0,823.0,2012
"      Bad Kreuznach, Landkreis",1852.0,871.0,981.0,2012
"      Birkenfeld, Landkreis",1120.0,525.0,595.0,2012
"      Cochem-Zell, Landkreis",826.0,424.0,402.0,2012
"      Mayen-Koblenz, Landkreis",2293.0,1134.0,1159.0,2012
"      Neuwied, Landkreis",2095.0,956.0,1139.0,2012
      Rhein-Hunsrück-Kreis,1201.0,578.0,623.0,2012
      Rhein-Lahn-Kreis,1470.0,709.0,761.0,2012
      Westerwaldkreis,2212.0,1051.0,1161.0,2012
"    Trier, Stat. Region",5476.0,2577.0,2899.0,2012
"      Trier, kreisfreie Stadt",1027.0,457.0,570.0,2012
"      Bernkastel-Wittlich, Landkreis",1208.0,580.0,628.0,2012
      Eifelkreis Bitburg-Prüm,1063.0,502.0,561.0,2012
"      Vulkaneifel, Landkreis",768.0,373.0,395.0,2012
"      Trier-Saarburg, Landkreis",1410.0,665.0,745.0,2012
"    Rheinhessen-Pfalz, Stat. Region",21436.0,10298.0,11138.0,2012
"      Frankenthal (Pfalz), kreisfreie Stadt",509.0,235.0,274.0,2012
"      Kaiserslautern, kreisfreie Stadt",1125.0,532.0,593.0,2012
"      Landau in der Pfalz, kreisfreie Stadt",429.0,205.0,224.0,2012
"      Ludwigshafen am Rhein, kreisfreie Stadt",1685.0,813.0,872.0,2012
"      Mainz, kreisfreie Stadt",1825.0,838.0,987.0,2012
"      Neustadt an der Weinstraße, kreisfreie Stadt",650.0,274.0,376.0,2012
"      Pirmasens, kreisfreie Stadt",630.0,307.0,323.0,2012
"      Speyer, kreisfreie Stadt",586.0,274.0,312.0,2012
"      Worms, kreisfreie Stadt",899.0,427.0,472.0,2012
"      Zweibrücken, kreisfreie Stadt",426.0,208.0,218.0,2012
"      Alzey-Worms, Landkreis",1243.0,593.0,650.0,2012
"      Bad Dürkheim, Landkreis",1561.0,776.0,785.0,2012
      Donnersbergkreis,897.0,447.0,450.0,2012
"      Germersheim, Landkreis",1183.0,581.0,602.0,2012
"      Kaiserslautern, Landkreis",1164.0,566.0,598.0,2012
"      Kusel, Landkreis",980.0,469.0,511.0,2012
"      Südliche Weinstraße, Landkreis",1123.0,544.0,579.0,2012
      Rhein-Pfalz-Kreis,1553.0,773.0,780.0,2012
"      Mainz-Bingen, Landkreis",1766.0,826.0,940.0,2012
"      Südwestpfalz, Landkreis",1202.0,610.0,592.0,2012
Deutschland,893825.0,429645.0,464180.0,2013
  Rheinland-Pfalz,45532.0,21950.0,23582.0,2013
"    Koblenz, Stat. Region",17838.0,8605.0,9233.0,2013
"      Koblenz, kreisfreie Stadt",1353.0,622.0,731.0,2013
"      Ahrweiler, Landkreis",1498.0,675.0,823.0,2013
"      Altenkirchen (Westerwald), Landkreis",1554.0,769.0,785.0,2013
"      Bad Kreuznach, Landkreis",1925.0,912.0,1013.0,2013
"      Birkenfeld, Landkreis",1143.0,546.0,597.0,2013
"      Cochem-Zell, Landkreis",829.0,406.0,423.0,2013
"      Mayen-Koblenz, Landkreis",2379.0,1147.0,1232.0,2013
"      Neuwied, Landkreis",2275.0,1139.0,1136.0,2013
      Rhein-Hunsrück-Kreis,1133.0,538.0,595.0,2013
      Rhein-Lahn-Kreis,1486.0,719.0,767.0,2013
      Westerwaldkreis,2263.0,1132.0,1131.0,2013
"    Trier, Stat. Region",5733.0,2757.0,2976.0,2013
"      Trier, kreisfreie Stadt",1052.0,480.0,572.0,2013
"      Bernkastel-Wittlich, Landkreis",1309.0,625.0,684.0,2013
      Eifelkreis Bitburg-Prüm,1102.0,566.0,536.0,2013
"      Vulkaneifel, Landkreis",728.0,348.0,380.0,2013
"      Trier-Saarburg, Landkreis",1542.0,738.0,804.0,2013
"    Rheinhessen-Pfalz, Stat. Region",21961.0,10588.0,11373.0,2013
"      Frankenthal (Pfalz), kreisfreie Stadt",526.0,237.0,289.0,2013
"      Kaiserslautern, kreisfreie Stadt",1132.0,552.0,580.0,2013
"      Landau in der Pfalz, kreisfreie Stadt",446.0,202.0,244.0,2013
"      Ludwigshafen am Rhein, kreisfreie Stadt",1738.0,840.0,898.0,2013
"      Mainz, kreisfreie Stadt",1845.0,846.0,999.0,2013
"      Neustadt an der Weinstraße, kreisfreie Stadt",625.0,304.0,321.0,2013
"      Pirmasens, kreisfreie Stadt",714.0,330.0,384.0,2013
"      Speyer, kreisfreie Stadt",640.0,285.0,355.0,2013
"      Worms, kreisfreie Stadt",918.0,422.0,496.0,2013
"      Zweibrücken, kreisfreie Stadt",382.0,167.0,215.0,2013
"      Alzey-Worms, Landkreis",1316.0,648.0,668.0,2013
"      Bad Dürkheim, Landkreis",1627.0,780.0,847.0,2013
      Donnersbergkreis,880.0,443.0,437.0,2013
"      Germersheim, Landkreis",1197.0,606.0,591.0,2013
"      Kaiserslautern, Landkreis",1187.0,586.0,601.0,2013
"      Kusel, Landkreis",985.0,470.0,515.0,2013
"      Südliche Weinstraße, Landkreis",1177.0,559.0,618.0,2013
      Rhein-Pfalz-Kreis,1541.0,768.0,773.0,2013
"      Mainz-Bingen, Landkreis",1929.0,968.0,961.0,2013
"      Südwestpfalz, Landkreis",1156.0,575.0,581.0,2013
Deutschland,868356.0,422225.0,446131.0,2014
  Rheinland-Pfalz,44307.0,21501.0,22806.0,2014
"    Koblenz, Stat. Region",17548.0,8436.0,9112.0,2014
"      Koblenz, kreisfreie Stadt",1320.0,606.0,714.0,2014
"      Ahrweiler, Landkreis",1534.0,738.0,796.0,2014
"      Altenkirchen (Westerwald), Landkreis",1536.0,748.0,788.0,2014
"      Bad Kreuznach, Landkreis",1773.0,860.0,913.0,2014
"      Birkenfeld, Landkreis",1100.0,531.0,569.0,2014
"      Cochem-Zell, Landkreis",828.0,377.0,451.0,2014
"      Mayen-Koblenz, Landkreis",2354.0,1147.0,1207.0,2014
"      Neuwied, Landkreis",2182.0,1027.0,1155.0,2014
      Rhein-Hunsrück-Kreis,1223.0,567.0,656.0,2014
      Rhein-Lahn-Kreis,1544.0,740.0,804.0,2014
      Westerwaldkreis,2154.0,1095.0,1059.0,2014
"    Trier, Stat. Region",5643.0,2757.0,2886.0,2014
"      Trier, kreisfreie Stadt",1129.0,505.0,624.0,2014
"      Bernkastel-Wittlich, Landkreis",1205.0,601.0,604.0,2014
      Eifelkreis Bitburg-Prüm,1100.0,549.0,551.0,2014
"      Vulkaneifel, Landkreis",733.0,342.0,391.0,2014
"      Trier-Saarburg, Landkreis",1476.0,760.0,716.0,2014
"    Rheinhessen-Pfalz, Stat. Region",21116.0,10308.0,10808.0,2014
"      Frankenthal (Pfalz), kreisfreie Stadt",561.0,293.0,268.0,2014
"      Kaiserslautern, kreisfreie Stadt",1124.0,522.0,602.0,2014
"      Landau in der Pfalz, kreisfreie Stadt",448.0,193.0,255.0,2014
"      Ludwigshafen am Rhein, kreisfreie Stadt",1620.0,836.0,784.0,2014
"      Mainz, kreisfreie Stadt",1742.0,823.0,919.0,2014
"      Neustadt an der Weinstraße, kreisfreie Stadt",613.0,275.0,338.0,2014
"      Pirmasens, kreisfreie Stadt",640.0,297.0,343.0,2014
"      Speyer, kreisfreie Stadt",566.0,257.0,309.0,2014
"      Worms, kreisfreie Stadt",874.0,407.0,467.0,2014
"      Zweibrücken, kreisfreie Stadt",434.0,203.0,231.0,2014
"      Alzey-Worms, Landkreis",1228.0,598.0,630.0,2014
"      Bad Dürkheim, Landkreis",1489.0,716.0,773.0,2014
      Donnersbergkreis,931.0,470.0,461.0,2014
"      Germersheim, Landkreis",1145.0,547.0,598.0,2014
"      Kaiserslautern, Landkreis",1107.0,556.0,551.0,2014
"      Kusel, Landkreis",877.0,461.0,416.0,2014
"      Südliche Weinstraße, Landkreis",1143.0,577.0,566.0,2014
      Rhein-Pfalz-Kreis,1552.0,781.0,771.0,2014
"      Mainz-Bingen, Landkreis",1868.0,932.0,936.0,2014
"      Südwestpfalz, Landkreis",1154.0,564.0,590.0,2014
Deutschland,925200.0,449512.0,475688.0,2015
  Rheinland-Pfalz,46777.0,22572.0,24205.0,2015
"    Koblenz, Stat. Region",18100.0,8780.0,9320.0,2015
"      Koblenz, kreisfreie Stadt",1318.0,631.0,687.0,2015
"      Ahrweiler, Landkreis",1605.0,778.0,827.0,2015
"      Altenkirchen (Westerwald), Landkreis",1600.0,747.0,853.0,2015
"      Bad Kreuznach, Landkreis",1932.0,920.0,1012.0,2015
"      Birkenfeld, Landkreis",1200.0,569.0,631.0,2015
"      Cochem-Zell, Landkreis",842.0,418.0,424.0,2015
"      Mayen-Koblenz, Landkreis",2301.0,1140.0,1161.0,2015
"      Neuwied, Landkreis",2158.0,1057.0,1101.0,2015
      Rhein-Hunsrück-Kreis,1283.0,634.0,649.0,2015
      Rhein-Lahn-Kreis,1550.0,735.0,815.0,2015
      Westerwaldkreis,2311.0,1151.0,1160.0,2015
"    Trier, Stat. Region",6053.0,2850.0,3203.0,2015
"      Trier, kreisfreie Stadt",1132.0,500.0,632.0,2015
"      Bernkastel-Wittlich, Landkreis",1350.0,651.0,699.0,2015
      Eifelkreis Bitburg-Prüm,1156.0,550.0,606.0,2015
"      Vulkaneifel, Landkreis",823.0,382.0,441.0,2015
"      Trier-Saarburg, Landkreis",1592.0,767.0,825.0,2015
"    Rheinhessen-Pfalz, Stat. Region",22624.0,10942.0,11682.0,2015
"      Frankenthal (Pfalz), kreisfreie Stadt",579.0,285.0,294.0,2015
"      Kaiserslautern, kreisfreie Stadt",1135.0,529.0,606.0,2015
"      Landau in der Pfalz, kreisfreie Stadt",494.0,213.0,281.0,2015
"      Ludwigshafen am Rhein, kreisfreie Stadt",1789.0,896.0,893.0,2015
"      Mainz, kreisfreie Stadt",1875.0,894.0,981.0,2015
"      Neustadt an der Weinstraße, kreisfreie Stadt",653.0,321.0,332.0,2015
"      Pirmasens, kreisfreie Stadt",634.0,283.0,351.0,2015
"      Speyer, kreisfreie Stadt",588.0,284.0,304.0,2015
"      Worms, kreisfreie Stadt",922.0,420.0,502.0,2015
"      Zweibrücken, kreisfreie Stadt",418.0,215.0,203.0,2015
"      Alzey-Worms, Landkreis",1323.0,665.0,658.0,2015
"      Bad Dürkheim, Landkreis",1649.0,787.0,862.0,2015
      Donnersbergkreis,965.0,448.0,517.0,2015
"      Germersheim, Landkreis",1263.0,596.0,667.0,2015
"      Kaiserslautern, Landkreis",1243.0,596.0,647.0,2015
"      Kusel, Landkreis",961.0,509.0,452.0,2015
"      Südliche Weinstraße, Landkreis",1233.0,613.0,620.0,2015
      Rhein-Pfalz-Kreis,1674.0,796.0,878.0,2015
"      Mainz-Bingen, Landkreis",2057.0,1012.0,1045.0,2015
"      Südwestpfalz, Landkreis",1169.0,580.0,589.0,2015
Deutschland,910899.0,448304.0,462595.0,2016
  Rheinland-Pfalz,45864.0,22536.0,23328.0,2016
"    Koblenz, Stat. Region",18133.0,8865.0,9268.0,2016
"      Koblenz, kreisfreie Stadt",1313.0,601.0,712.0,2016
"      Ahrweiler, Landkreis",1638.0,768.0,870.0,2016
"      Altenkirchen (Westerwald), Landkreis",1536.0,750.0,786.0,2016
"      Bad Kreuznach, Landkreis",1901.0,884.0,1017.0,2016
"      Birkenfeld, Landkreis",1170.0,578.0,592.0,2016
"      Cochem-Zell, Landkreis",854.0,425.0,429.0,2016
"      Mayen-Koblenz, Landkreis",2435.0,1213.0,1222.0,2016
"      Neuwied, Landkreis",2232.0,1105.0,1127.0,2016
      Rhein-Hunsrück-Kreis,1214.0,613.0,601.0,2016
      Rhein-Lahn-Kreis,1571.0,799.0,772.0,2016
      Westerwaldkreis,2269.0,1129.0,1140.0,2016
"    Trier, Stat. Region",5836.0,2827.0,3009.0,2016
"      Trier, kreisfreie Stadt",1142.0,540.0,602.0,2016
"      Bernkastel-Wittlich, Landkreis",1252.0,612.0,640.0,2016
      Eifelkreis Bitburg-Prüm,1052.0,509.0,543.0,2016
"      Vulkaneifel, Landkreis",836.0,389.0,447.0,2016
"      Trier-Saarburg, Landkreis",1554.0,777.0,777.0,2016
"    Rheinhessen-Pfalz, Stat. Region",21895.0,10844.0,11051.0,2016
"      Frankenthal (Pfalz), kreisfreie Stadt",597.0,294.0,303.0,2016
"      Kaiserslautern, kreisfreie Stadt",1137.0,564.0,573.0,2016
"      Landau in der Pfalz, kreisfreie Stadt",476.0,221.0,255.0,2016
"      Ludwigshafen am Rhein, kreisfreie Stadt",1753.0,886.0,867.0,2016
"      Mainz, kreisfreie Stadt",1785.0,883.0,902.0,2016
"      Neustadt an der Weinstraße, kreisfreie Stadt",628.0,287.0,341.0,2016
"      Pirmasens, kreisfreie Stadt",676.0,304.0,372.0,2016
"      Speyer, kreisfreie Stadt",619.0,300.0,319.0,2016
"      Worms, kreisfreie Stadt",877.0,441.0,436.0,2016
"      Zweibrücken, kreisfreie Stadt",426.0,198.0,228.0,2016
"      Alzey-Worms, Landkreis",1229.0,577.0,652.0,2016
"      Bad Dürkheim, Landkreis",1603.0,781.0,822.0,2016
      Donnersbergkreis,874.0,438.0,436.0,2016
"      Germersheim, Landkreis",1227.0,636.0,591.0,2016
"      Kaiserslautern, Landkreis",1125.0,566.0,559.0,2016
"      Kusel, Landkreis",883.0,436.0,447.0,2016
"      Südliche Weinstraße, Landkreis",1197.0,610.0,587.0,2016
      Rhein-Pfalz-Kreis,1574.0,791.0,783.0,2016
"      Mainz-Bingen, Landkreis",1936.0,978.0,958.0,2016
"      Südwestpfalz, Landkreis",1273.0,653.0,620.0,2016
Deutschland,932263.0,457756.0,474507.0,2017
  Rheinland-Pfalz,47385.0,23200.0,24185.0,2017
"    Koblenz, Stat. Region",18477.0,9023.0,9454.0,2017
"      Koblenz, kreisfreie Stadt",1312.0,610.0,702.0,2017
"      Ahrweiler, Landkreis",1680.0,807.0,873.0,2017
"      Altenkirchen (Westerwald), Landkreis",1598.0,790.0,808.0,2017
"      Bad Kreuznach, Landkreis",1951.0,946.0,1005.0,2017
"      Birkenfeld, Landkreis",1172.0,578.0,594.0,2017
"      Cochem-Zell, Landkreis",855.0,414.0,441.0,2017
"      Mayen-Koblenz, Landkreis",2455.0,1193.0,1262.0,2017
"      Neuwied, Landkreis",2234.0,1125.0,1109.0,2017
      Rhein-Hunsrück-Kreis,1311.0,630.0,681.0,2017
      Rhein-Lahn-Kreis,1562.0,764.0,798.0,2017
      Westerwaldkreis,2347.0,1166.0,1181.0,2017
"    Trier, Stat. Region",5975.0,2882.0,3093.0,2017
"      Trier, kreisfreie Stadt",1146.0,530.0,616.0,2017
"      Bernkastel-Wittlich, Landkreis",1360.0,643.0,717.0,2017
      Eifelkreis Bitburg-Prüm,1116.0,555.0,561.0,2017
"      Vulkaneifel, Landkreis",801.0,384.0,417.0,2017
"      Trier-Saarburg, Landkreis",1552.0,770.0,782.0,2017
"    Rheinhessen-Pfalz, Stat. Region",22933.0,11295.0,11638.0,2017
"      Frankenthal (Pfalz), kreisfreie Stadt",586.0,305.0,281.0,2017
"      Kaiserslautern, kreisfreie Stadt",1181.0,548.0,633.0,2017
"      Landau in der Pfalz, kreisfreie Stadt",503.0,224.0,279.0,2017
"      Ludwigshafen am Rhein, kreisfreie Stadt",1887.0,962.0,925.0,2017
"      Mainz, kreisfreie Stadt",1937.0,948.0,989.0,2017
"      Neustadt an der Weinstraße, kreisfreie Stadt",667.0,312.0,355.0,2017
"      Pirmasens, kreisfreie Stadt",676.0,299.0,377.0,2017
"      Speyer, kreisfreie Stadt",665.0,324.0,341.0,2017
"      Worms, kreisfreie Stadt",957.0,462.0,495.0,2017
"      Zweibrücken, kreisfreie Stadt",449.0,193.0,256.0,2017
"      Alzey-Worms, Landkreis",1396.0,705.0,691.0,2017
"      Bad Dürkheim, Landkreis",1626.0,798.0,828.0,2017
      Donnersbergkreis,879.0,427.0,452.0,2017
"      Germersheim, Landkreis",1230.0,638.0,592.0,2017
"      Kaiserslautern, Landkreis",1213.0,622.0,591.0,2017
"      Kusel, Landkreis",907.0,427.0,480.0,2017
"      Südliche Weinstraße, Landkreis",1259.0,640.0,619.0,2017
      Rhein-Pfalz-Kreis,1685.0,880.0,805.0,2017
"      Mainz-Bingen, Landkreis",2011.0,973.0,1038.0,2017
"      Südwestpfalz, Landkreis",1219.0,608.0,611.0,2017
