City,Total,Mining and extraction of stones and earth ,Manufacturing,Power Supply,Water Supply,Construction Industry,"Trade, maintance and repair motor vehicle",Traffic and warehousing,Hospitality,Information and communication,Provision of Finace and insurance service,Real estate and housing,"Freelance, science technology services",Other Economic services,Education and Teaching,Helth and social care,"Art, Entertainment and Recreation",Provision and other services,Year
"Trier-Saarburg, Landkreis",5297.0,10.0,470.0,64.0,27.0,680.0,1050.0,169.0,555.0,94.0,136.0,506.0,477.0,205.0,139.0,312.0,105.0,298.0,2011
"Frankenthal (Pfalz), kreisfreie Stadt",2023.0,2.0,135.0,15.0,5.0,192.0,429.0,91.0,168.0,61.0,37.0,181.0,230.0,111.0,49.0,148.0,49.0,120.0,2011
"Kaiserslautern, kreisfreie Stadt",4871.0,2.0,267.0,23.0,7.0,306.0,1052.0,174.0,429.0,170.0,113.0,436.0,744.0,212.0,138.0,377.0,124.0,297.0,2011
"Landau in der Pfalz, kreisfreie Stadt",2556.0,1.0,159.0,15.0,15.0,180.0,576.0,40.0,165.0,82.0,52.0,297.0,375.0,121.0,75.0,196.0,63.0,144.0,2011
"Ludwigshafen am Rhein, kreisfreie Stadt",6014.0,3.0,306.0,23.0,15.0,683.0,1171.0,320.0,543.0,186.0,105.0,467.0,675.0,380.0,172.0,457.0,140.0,368.0,2011
"Mainz, kreisfreie Stadt",10622.0,4.0,455.0,45.0,20.0,604.0,1721.0,362.0,735.0,663.0,230.0,1197.0,1801.0,621.0,249.0,767.0,427.0,721.0,2011
"Neustadt an der Weinstraße, kreisfreie Stadt",3015.0,0.0,177.0,21.0,7.0,242.0,603.0,72.0,249.0,106.0,74.0,318.0,458.0,122.0,67.0,221.0,83.0,195.0,2011
"Pirmasens, kreisfreie Stadt",2232.0,0.0,199.0,10.0,10.0,168.0,620.0,57.0,168.0,63.0,55.0,175.0,233.0,82.0,42.0,163.0,46.0,141.0,2011
"Speyer, kreisfreie Stadt",2829.0,4.0,186.0,13.0,14.0,208.0,587.0,86.0,242.0,89.0,75.0,293.0,376.0,131.0,81.0,198.0,87.0,159.0,2011
"Worms, kreisfreie Stadt",3808.0,3.0,256.0,27.0,12.0,371.0,813.0,150.0,294.0,126.0,80.0,340.0,466.0,203.0,82.0,249.0,108.0,228.0,2011
"Zweibrücken, kreisfreie Stadt",1593.0,1.0,122.0,16.0,12.0,125.0,395.0,46.0,150.0,50.0,36.0,107.0,164.0,64.0,45.0,127.0,40.0,93.0,2011
"Alzey-Worms, Landkreis",5541.0,3.0,421.0,162.0,29.0,645.0,1162.0,179.0,392.0,201.0,120.0,420.0,644.0,360.0,159.0,258.0,110.0,276.0,2011
"Bad Dürkheim, Landkreis",6381.0,2.0,440.0,59.0,26.0,657.0,1262.0,188.0,661.0,189.0,122.0,660.0,790.0,346.0,174.0,338.0,143.0,324.0,2011
Donnersbergkreis,2978.0,3.0,295.0,81.0,16.0,332.0,585.0,131.0,243.0,74.0,59.0,203.0,309.0,162.0,105.0,194.0,49.0,137.0,2011
"Germersheim, Landkreis",5334.0,15.0,407.0,57.0,37.0,564.0,1121.0,214.0,429.0,145.0,124.0,488.0,554.0,255.0,204.0,283.0,141.0,296.0,2011
"Kaiserslautern, Landkreis",4284.0,2.0,311.0,72.0,35.0,601.0,917.0,142.0,415.0,90.0,73.0,324.0,406.0,207.0,121.0,254.0,69.0,245.0,2011
"Kusel, Landkreis",2403.0,3.0,206.0,32.0,15.0,306.0,546.0,76.0,248.0,34.0,58.0,148.0,212.0,88.0,87.0,168.0,36.0,140.0,2011
"Südliche Weinstraße, Landkreis",5252.0,1.0,445.0,91.0,24.0,584.0,1054.0,103.0,615.0,149.0,138.0,456.0,533.0,231.0,159.0,279.0,125.0,265.0,2011
Rhein-Pfalz-Kreis,5928.0,4.0,457.0,59.0,29.0,682.0,1247.0,294.0,390.0,195.0,119.0,481.0,679.0,334.0,153.0,321.0,126.0,358.0,2011
"Mainz-Bingen, Landkreis",9388.0,5.0,596.0,84.0,29.0,990.0,1649.0,289.0,719.0,477.0,210.0,815.0,1393.0,525.0,285.0,504.0,260.0,558.0,2011
"Südwestpfalz, Landkreis",3895.0,1.0,427.0,32.0,14.0,542.0,899.0,103.0,419.0,102.0,64.0,264.0,303.0,161.0,115.0,191.0,63.0,195.0,2011
"Koblenz, kreisfreie Stadt",6014.0,1.0,275.0,24.0,17.0,399.0,1224.0,257.0,474.0,249.0,165.0,596.0,821.0,338.0,163.0,481.0,150.0,380.0,2012
"Ahrweiler, Landkreis",6418.0,6.0,521.0,41.0,27.0,790.0,1241.0,187.0,645.0,184.0,121.0,580.0,674.0,362.0,148.0,363.0,167.0,361.0,2012
"Altenkirchen (Westerwald), Landkreis",5626.0,1.0,623.0,55.0,33.0,688.0,1177.0,164.0,324.0,128.0,113.0,545.0,565.0,287.0,158.0,315.0,108.0,342.0,2012
"Bad Kreuznach, Landkreis",7000.0,11.0,559.0,89.0,35.0,689.0,1479.0,219.0,544.0,196.0,154.0,569.0,807.0,377.0,214.0,466.0,165.0,427.0,2012
"Birkenfeld, Landkreis",3845.0,2.0,609.0,35.0,23.0,390.0,901.0,94.0,279.0,73.0,107.0,276.0,282.0,152.0,80.0,251.0,75.0,216.0,2012
"Cochem-Zell, Landkreis",3061.0,1.0,243.0,63.0,7.0,348.0,614.0,99.0,582.0,62.0,58.0,239.0,190.0,99.0,66.0,188.0,33.0,169.0,2012
"Mayen-Koblenz, Landkreis",9445.0,30.0,873.0,128.0,30.0,1062.0,2117.0,370.0,694.0,247.0,241.0,807.0,979.0,425.0,230.0,530.0,201.0,481.0,2012
"Neuwied, Landkreis",8810.0,6.0,820.0,58.0,29.0,1195.0,1833.0,254.0,551.0,284.0,192.0,784.0,995.0,459.0,206.0,488.0,189.0,467.0,2012
Rhein-Hunsrück-Kreis,4950.0,3.0,417.0,103.0,20.0,651.0,991.0,189.0,414.0,128.0,116.0,437.0,501.0,259.0,124.0,252.0,103.0,242.0,2012
Rhein-Lahn-Kreis,5397.0,4.0,458.0,80.0,20.0,590.0,1037.0,179.0,506.0,146.0,117.0,392.0,601.0,310.0,170.0,337.0,111.0,339.0,2012
Westerwaldkreis,9874.0,30.0,1130.0,117.0,34.0,1193.0,2019.0,303.0,564.0,264.0,187.0,986.0,1113.0,506.0,296.0,492.0,161.0,479.0,2012
"Trier, kreisfreie Stadt",5271.0,1.0,287.0,35.0,20.0,307.0,1258.0,142.0,460.0,138.0,130.0,547.0,693.0,225.0,142.0,428.0,116.0,342.0,2012
"Bernkastel-Wittlich, Landkreis",5241.0,8.0,505.0,91.0,20.0,588.0,1100.0,151.0,691.0,78.0,120.0,446.0,422.0,210.0,124.0,310.0,98.0,279.0,2012
Eifelkreis Bitburg-Prüm,4371.0,8.0,416.0,266.0,22.0,478.0,879.0,143.0,445.0,73.0,114.0,408.0,323.0,138.0,117.0,206.0,99.0,236.0,2012
"Vulkaneifel, Landkreis",2906.0,13.0,273.0,70.0,15.0,333.0,600.0,105.0,273.0,68.0,53.0,282.0,267.0,106.0,84.0,154.0,58.0,152.0,2012
"Trier-Saarburg, Landkreis",5230.0,10.0,460.0,74.0,29.0,678.0,1029.0,161.0,518.0,92.0,140.0,509.0,473.0,219.0,168.0,285.0,99.0,286.0,2012
"Frankenthal (Pfalz), kreisfreie Stadt",1970.0,2.0,136.0,15.0,4.0,193.0,420.0,101.0,164.0,54.0,30.0,170.0,212.0,95.0,50.0,160.0,46.0,118.0,2012
"Kaiserslautern, kreisfreie Stadt",4729.0,2.0,257.0,26.0,6.0,310.0,1013.0,157.0,401.0,176.0,109.0,426.0,705.0,205.0,136.0,382.0,125.0,293.0,2012
"Landau in der Pfalz, kreisfreie Stadt",2532.0,1.0,160.0,18.0,15.0,180.0,565.0,35.0,163.0,81.0,49.0,289.0,372.0,129.0,77.0,195.0,59.0,144.0,2012
"Ludwigshafen am Rhein, kreisfreie Stadt",5842.0,3.0,316.0,31.0,16.0,664.0,1104.0,306.0,510.0,183.0,103.0,451.0,657.0,372.0,167.0,462.0,137.0,360.0,2012
"Mainz, kreisfreie Stadt",10410.0,3.0,428.0,62.0,21.0,604.0,1675.0,353.0,683.0,645.0,249.0,1192.0,1756.0,616.0,258.0,759.0,402.0,704.0,2012
"Neustadt an der Weinstraße, kreisfreie Stadt",2950.0,0.0,178.0,26.0,7.0,238.0,582.0,69.0,243.0,104.0,68.0,304.0,460.0,125.0,67.0,212.0,79.0,188.0,2012
"Pirmasens, kreisfreie Stadt",2176.0,0.0,190.0,11.0,10.0,176.0,586.0,61.0,160.0,61.0,54.0,173.0,225.0,86.0,34.0,169.0,49.0,131.0,2012
"Speyer, kreisfreie Stadt",2796.0,4.0,186.0,16.0,13.0,205.0,593.0,85.0,244.0,86.0,72.0,285.0,363.0,131.0,83.0,192.0,77.0,161.0,2012
"Worms, kreisfreie Stadt",3669.0,3.0,247.0,33.0,13.0,362.0,795.0,135.0,286.0,118.0,64.0,317.0,448.0,201.0,81.0,237.0,112.0,217.0,2012
"Zweibrücken, kreisfreie Stadt",1567.0,0.0,124.0,17.0,11.0,116.0,401.0,49.0,130.0,47.0,42.0,113.0,163.0,60.0,54.0,119.0,39.0,82.0,2012
"Alzey-Worms, Landkreis",5458.0,4.0,407.0,221.0,26.0,647.0,1117.0,179.0,362.0,193.0,122.0,430.0,618.0,351.0,147.0,257.0,118.0,259.0,2012
"Bad Dürkheim, Landkreis",6269.0,1.0,426.0,71.0,26.0,661.0,1222.0,187.0,619.0,187.0,116.0,642.0,776.0,353.0,177.0,352.0,146.0,307.0,2012
Donnersbergkreis,2923.0,3.0,295.0,82.0,17.0,329.0,561.0,120.0,234.0,63.0,54.0,190.0,319.0,160.0,114.0,192.0,51.0,139.0,2012
"Germersheim, Landkreis",5209.0,15.0,398.0,71.0,38.0,561.0,1092.0,210.0,395.0,134.0,123.0,453.0,550.0,267.0,196.0,285.0,139.0,282.0,2012
"Kaiserslautern, Landkreis",4203.0,2.0,309.0,86.0,35.0,599.0,891.0,136.0,395.0,80.0,77.0,306.0,385.0,213.0,128.0,255.0,68.0,238.0,2012
"Kusel, Landkreis",2373.0,4.0,204.0,37.0,15.0,305.0,537.0,76.0,233.0,39.0,60.0,137.0,209.0,81.0,88.0,165.0,40.0,143.0,2012
"Südliche Weinstraße, Landkreis",5184.0,1.0,445.0,110.0,23.0,583.0,1038.0,109.0,592.0,141.0,142.0,445.0,504.0,237.0,155.0,274.0,123.0,262.0,2012
Rhein-Pfalz-Kreis,5823.0,4.0,431.0,72.0,29.0,692.0,1225.0,294.0,379.0,177.0,124.0,459.0,649.0,347.0,150.0,321.0,120.0,350.0,2012
"Mainz-Bingen, Landkreis",9264.0,5.0,596.0,96.0,25.0,1009.0,1603.0,279.0,686.0,460.0,221.0,789.0,1379.0,512.0,283.0,523.0,255.0,543.0,2012
"Südwestpfalz, Landkreis",3749.0,1.0,397.0,45.0,14.0,529.0,843.0,103.0,375.0,104.0,63.0,246.0,301.0,168.0,114.0,195.0,67.0,184.0,2012
"Koblenz, kreisfreie Stadt",5889.0,1.0,263.0,25.0,16.0,388.0,1203.0,248.0,468.0,244.0,143.0,589.0,818.0,344.0,151.0,472.0,157.0,359.0,2013
"Ahrweiler, Landkreis",6269.0,6.0,522.0,43.0,28.0,777.0,1193.0,177.0,637.0,159.0,103.0,580.0,660.0,355.0,157.0,378.0,159.0,335.0,2013
"Altenkirchen (Westerwald), Landkreis",5466.0,0.0,626.0,53.0,34.0,684.0,1135.0,153.0,313.0,131.0,96.0,532.0,538.0,278.0,156.0,317.0,98.0,322.0,2013
"Bad Kreuznach, Landkreis",6880.0,11.0,538.0,87.0,34.0,702.0,1421.0,219.0,553.0,192.0,129.0,566.0,786.0,374.0,223.0,465.0,164.0,416.0,2013
"Birkenfeld, Landkreis",3761.0,2.0,575.0,36.0,22.0,384.0,892.0,86.0,278.0,64.0,93.0,266.0,281.0,167.0,83.0,249.0,70.0,213.0,2013
"Cochem-Zell, Landkreis",2992.0,1.0,227.0,63.0,6.0,349.0,587.0,93.0,569.0,55.0,56.0,247.0,174.0,107.0,73.0,189.0,37.0,159.0,2013
"Mayen-Koblenz, Landkreis",9246.0,30.0,854.0,150.0,29.0,1050.0,2059.0,355.0,658.0,239.0,207.0,799.0,951.0,435.0,246.0,526.0,199.0,459.0,2013
"Neuwied, Landkreis",8748.0,6.0,816.0,64.0,28.0,1239.0,1803.0,255.0,534.0,267.0,175.0,773.0,998.0,460.0,201.0,489.0,183.0,457.0,2013
Rhein-Hunsrück-Kreis,4853.0,3.0,414.0,110.0,22.0,633.0,972.0,182.0,410.0,125.0,108.0,442.0,497.0,246.0,132.0,247.0,87.0,223.0,2013
Rhein-Lahn-Kreis,5263.0,4.0,434.0,77.0,21.0,587.0,1003.0,168.0,474.0,137.0,102.0,380.0,603.0,321.0,172.0,336.0,117.0,327.0,2013
Westerwaldkreis,9730.0,32.0,1093.0,122.0,35.0,1185.0,1985.0,283.0,545.0,269.0,185.0,966.0,1103.0,506.0,298.0,496.0,154.0,473.0,2013
"Trier, kreisfreie Stadt",5225.0,2.0,288.0,40.0,16.0,306.0,1251.0,131.0,455.0,140.0,112.0,551.0,697.0,229.0,135.0,424.0,107.0,341.0,2013
"Bernkastel-Wittlich, Landkreis",5165.0,8.0,488.0,93.0,20.0,594.0,1085.0,145.0,694.0,77.0,106.0,453.0,429.0,212.0,116.0,308.0,94.0,243.0,2013
Eifelkreis Bitburg-Prüm,4266.0,9.0,400.0,262.0,21.0,460.0,861.0,140.0,434.0,68.0,105.0,409.0,324.0,140.0,111.0,205.0,85.0,232.0,2013
"Vulkaneifel, Landkreis",2822.0,12.0,271.0,71.0,15.0,315.0,577.0,99.0,277.0,61.0,52.0,271.0,262.0,103.0,83.0,153.0,63.0,137.0,2013
"Trier-Saarburg, Landkreis",5191.0,10.0,447.0,82.0,29.0,678.0,988.0,159.0,530.0,96.0,120.0,521.0,482.0,224.0,154.0,296.0,102.0,273.0,2013
"Frankenthal (Pfalz), kreisfreie Stadt",1941.0,1.0,137.0,13.0,4.0,188.0,412.0,99.0,158.0,44.0,30.0,172.0,202.0,93.0,47.0,178.0,44.0,119.0,2013
"Kaiserslautern, kreisfreie Stadt",4649.0,2.0,252.0,34.0,7.0,307.0,982.0,152.0,391.0,180.0,93.0,422.0,690.0,211.0,129.0,386.0,123.0,288.0,2013
"Landau in der Pfalz, kreisfreie Stadt",2489.0,1.0,151.0,19.0,15.0,168.0,551.0,37.0,175.0,79.0,48.0,298.0,363.0,120.0,71.0,194.0,53.0,146.0,2013
"Ludwigshafen am Rhein, kreisfreie Stadt",5740.0,2.0,299.0,32.0,16.0,638.0,1080.0,284.0,520.0,183.0,97.0,430.0,656.0,373.0,165.0,470.0,128.0,367.0,2013
"Mainz, kreisfreie Stadt",10218.0,3.0,410.0,58.0,20.0,598.0,1652.0,331.0,685.0,618.0,242.0,1174.0,1717.0,598.0,254.0,755.0,391.0,712.0,2013
"Neustadt an der Weinstraße, kreisfreie Stadt",2916.0,0.0,169.0,26.0,6.0,243.0,579.0,71.0,237.0,99.0,64.0,303.0,446.0,132.0,66.0,211.0,76.0,188.0,2013
"Pirmasens, kreisfreie Stadt",2138.0,0.0,181.0,10.0,10.0,170.0,563.0,67.0,166.0,57.0,46.0,174.0,221.0,88.0,34.0,171.0,49.0,131.0,2013
"Speyer, kreisfreie Stadt",2768.0,4.0,165.0,15.0,12.0,196.0,596.0,85.0,242.0,82.0,74.0,286.0,359.0,134.0,79.0,198.0,78.0,163.0,2013
"Worms, kreisfreie Stadt",3639.0,2.0,230.0,32.0,12.0,368.0,780.0,132.0,274.0,118.0,62.0,318.0,443.0,205.0,81.0,239.0,116.0,227.0,2013
"Zweibrücken, kreisfreie Stadt",1534.0,0.0,116.0,14.0,10.0,114.0,381.0,52.0,131.0,47.0,34.0,112.0,162.0,68.0,53.0,118.0,43.0,79.0,2013
"Alzey-Worms, Landkreis",5340.0,4.0,398.0,224.0,24.0,629.0,1091.0,176.0,356.0,177.0,102.0,419.0,609.0,345.0,145.0,259.0,115.0,267.0,2013
"Bad Dürkheim, Landkreis",6132.0,1.0,415.0,69.0,26.0,648.0,1192.0,178.0,616.0,179.0,98.0,637.0,768.0,343.0,173.0,346.0,145.0,298.0,2013
Donnersbergkreis,2844.0,4.0,280.0,82.0,17.0,318.0,539.0,108.0,225.0,65.0,47.0,185.0,317.0,162.0,114.0,192.0,50.0,139.0,2013
"Germersheim, Landkreis",5140.0,14.0,382.0,67.0,40.0,565.0,1061.0,205.0,404.0,133.0,101.0,456.0,536.0,258.0,198.0,293.0,135.0,292.0,2013
"Kaiserslautern, Landkreis",4124.0,2.0,294.0,79.0,34.0,604.0,864.0,134.0,393.0,76.0,75.0,306.0,371.0,205.0,127.0,258.0,64.0,238.0,2013
"Kusel, Landkreis",2299.0,4.0,192.0,39.0,15.0,300.0,513.0,68.0,218.0,40.0,52.0,130.0,208.0,87.0,91.0,164.0,39.0,139.0,2013
"Südliche Weinstraße, Landkreis",5071.0,2.0,442.0,100.0,23.0,575.0,999.0,110.0,573.0,141.0,133.0,453.0,482.0,242.0,157.0,269.0,117.0,253.0,2013
Rhein-Pfalz-Kreis,5724.0,3.0,423.0,71.0,26.0,692.0,1174.0,279.0,402.0,174.0,117.0,455.0,627.0,350.0,139.0,319.0,120.0,353.0,2013
"Mainz-Bingen, Landkreis",9116.0,5.0,579.0,94.0,24.0,1013.0,1577.0,270.0,680.0,456.0,199.0,787.0,1335.0,524.0,283.0,522.0,239.0,529.0,2013
"Südwestpfalz, Landkreis",3637.0,1.0,380.0,45.0,13.0,513.0,827.0,104.0,364.0,94.0,58.0,243.0,289.0,159.0,108.0,195.0,65.0,179.0,2013
"Koblenz, kreisfreie Stadt",5965.0,1.0,254.0,30.0,18.0,383.0,1209.0,249.0,475.0,246.0,156.0,595.0,832.0,352.0,162.0,498.0,156.0,349.0,2014
"Ahrweiler, Landkreis",6379.0,6.0,506.0,49.0,32.0,789.0,1214.0,174.0,635.0,157.0,118.0,589.0,673.0,377.0,149.0,387.0,180.0,344.0,2014
"Altenkirchen (Westerwald), Landkreis",5569.0,0.0,621.0,63.0,37.0,679.0,1137.0,161.0,318.0,126.0,114.0,550.0,576.0,287.0,156.0,327.0,100.0,317.0,2014
"Bad Kreuznach, Landkreis",6954.0,10.0,532.0,92.0,34.0,708.0,1427.0,226.0,546.0,195.0,147.0,565.0,803.0,392.0,222.0,473.0,160.0,422.0,2014
"Birkenfeld, Landkreis",3787.0,2.0,579.0,34.0,22.0,394.0,912.0,86.0,268.0,62.0,100.0,271.0,285.0,157.0,88.0,245.0,73.0,209.0,2014
"Cochem-Zell, Landkreis",3050.0,1.0,227.0,70.0,8.0,355.0,606.0,86.0,560.0,56.0,55.0,264.0,168.0,121.0,77.0,188.0,41.0,167.0,2014
"Mayen-Koblenz, Landkreis",9424.0,31.0,844.0,150.0,37.0,1024.0,2106.0,352.0,653.0,240.0,228.0,824.0,991.0,452.0,251.0,559.0,200.0,482.0,2014
"Neuwied, Landkreis",8809.0,6.0,802.0,68.0,29.0,1280.0,1811.0,250.0,542.0,265.0,185.0,767.0,998.0,447.0,206.0,500.0,192.0,461.0,2014
Rhein-Hunsrück-Kreis,4957.0,3.0,406.0,107.0,21.0,654.0,955.0,195.0,407.0,139.0,121.0,455.0,501.0,255.0,134.0,270.0,97.0,237.0,2014
Rhein-Lahn-Kreis,5346.0,4.0,446.0,83.0,22.0,584.0,976.0,161.0,472.0,141.0,115.0,392.0,628.0,336.0,175.0,343.0,125.0,343.0,2014
Westerwaldkreis,9799.0,30.0,1083.0,117.0,36.0,1187.0,1983.0,277.0,547.0,257.0,190.0,985.0,1131.0,528.0,305.0,500.0,157.0,486.0,2014
"Trier, kreisfreie Stadt",5366.0,3.0,293.0,53.0,18.0,311.0,1272.0,143.0,456.0,143.0,127.0,562.0,697.0,256.0,138.0,437.0,111.0,346.0,2014
"Bernkastel-Wittlich, Landkreis",5216.0,9.0,487.0,106.0,21.0,586.0,1087.0,145.0,683.0,75.0,120.0,467.0,445.0,214.0,122.0,316.0,92.0,241.0,2014
Eifelkreis Bitburg-Prüm,4321.0,8.0,392.0,280.0,22.0,459.0,853.0,133.0,448.0,73.0,112.0,425.0,324.0,137.0,112.0,207.0,103.0,233.0,2014
"Vulkaneifel, Landkreis",2825.0,13.0,263.0,68.0,15.0,314.0,589.0,96.0,276.0,56.0,53.0,278.0,256.0,104.0,81.0,158.0,68.0,137.0,2014
"Trier-Saarburg, Landkreis",5281.0,10.0,440.0,83.0,30.0,704.0,986.0,162.0,531.0,102.0,147.0,537.0,477.0,237.0,150.0,297.0,107.0,281.0,2014
"Frankenthal (Pfalz), kreisfreie Stadt",1992.0,2.0,141.0,14.0,4.0,184.0,421.0,98.0,156.0,47.0,32.0,175.0,208.0,106.0,50.0,174.0,47.0,133.0,2014
"Kaiserslautern, kreisfreie Stadt",4658.0,2.0,245.0,34.0,8.0,306.0,953.0,147.0,393.0,184.0,108.0,440.0,685.0,213.0,132.0,383.0,123.0,302.0,2014
"Landau in der Pfalz, kreisfreie Stadt",2494.0,1.0,142.0,20.0,14.0,169.0,543.0,36.0,176.0,87.0,54.0,300.0,360.0,116.0,76.0,197.0,59.0,144.0,2014
"Ludwigshafen am Rhein, kreisfreie Stadt",5780.0,2.0,284.0,38.0,14.0,640.0,1075.0,277.0,530.0,180.0,102.0,445.0,665.0,379.0,164.0,487.0,121.0,377.0,2014
"Mainz, kreisfreie Stadt",10459.0,4.0,399.0,59.0,21.0,618.0,1647.0,344.0,701.0,612.0,256.0,1280.0,1750.0,619.0,271.0,766.0,401.0,711.0,2014
"Neustadt an der Weinstraße, kreisfreie Stadt",2961.0,0.0,166.0,27.0,9.0,275.0,554.0,72.0,235.0,94.0,65.0,303.0,462.0,140.0,70.0,216.0,77.0,196.0,2014
"Pirmasens, kreisfreie Stadt",2155.0,0.0,182.0,13.0,11.0,177.0,566.0,59.0,156.0,54.0,54.0,181.0,222.0,97.0,35.0,176.0,46.0,126.0,2014
"Speyer, kreisfreie Stadt",2801.0,4.0,162.0,14.0,13.0,205.0,586.0,83.0,244.0,80.0,67.0,309.0,356.0,137.0,81.0,196.0,84.0,180.0,2014
"Worms, kreisfreie Stadt",3712.0,2.0,222.0,34.0,13.0,380.0,769.0,135.0,276.0,122.0,73.0,327.0,462.0,204.0,83.0,246.0,132.0,232.0,2014
"Zweibrücken, kreisfreie Stadt",1537.0,0.0,113.0,12.0,9.0,117.0,377.0,50.0,124.0,45.0,40.0,120.0,166.0,73.0,51.0,121.0,44.0,75.0,2014
"Alzey-Worms, Landkreis",5486.0,4.0,396.0,222.0,24.0,640.0,1076.0,188.0,388.0,177.0,118.0,442.0,635.0,363.0,152.0,256.0,121.0,284.0,2014
"Bad Dürkheim, Landkreis",6247.0,1.0,413.0,76.0,25.0,661.0,1195.0,166.0,638.0,186.0,112.0,648.0,772.0,363.0,176.0,362.0,142.0,311.0,2014
Donnersbergkreis,2884.0,3.0,275.0,80.0,16.0,335.0,540.0,103.0,229.0,67.0,53.0,188.0,330.0,164.0,109.0,189.0,57.0,146.0,2014
"Germersheim, Landkreis",5194.0,15.0,386.0,66.0,39.0,580.0,1046.0,200.0,405.0,145.0,118.0,470.0,538.0,253.0,195.0,294.0,149.0,295.0,2014
"Kaiserslautern, Landkreis",4180.0,2.0,290.0,85.0,38.0,595.0,867.0,133.0,402.0,89.0,76.0,315.0,378.0,196.0,129.0,267.0,74.0,244.0,2014
"Kusel, Landkreis",2328.0,3.0,198.0,43.0,14.0,316.0,506.0,68.0,208.0,43.0,56.0,142.0,205.0,86.0,97.0,173.0,35.0,135.0,2014
"Südliche Weinstraße, Landkreis",5178.0,4.0,430.0,102.0,25.0,591.0,1013.0,109.0,591.0,141.0,143.0,471.0,482.0,257.0,161.0,275.0,120.0,263.0,2014
