City,Total,Mining and extraction of stones and earth ,Manufacturing,Power Supply,Water Supply,Construction Industry,"Trade, maintance and repair motor vehicle",Traffic and warehousing,Hospitality,Information and communication,Provision of Finace and insurance service,Real estate and housing,"Freelance, science technology services",Other Economic services,Education and Teaching,Helth and social care,"Art, Entertainment and Recreation",Provision and other services,Year
"Frankenthal (Pfalz), kreisfreie Stadt",1805.0,0.0,121.0,12.0,4.0,201.0,388.0,76.0,163.0,38.0,28.0,81.0,217.0,109.0,37.0,157.0,47.0,126.0,2018
"Kaiserslautern, kreisfreie Stadt",4539.0,2.0,225.0,42.0,8.0,305.0,952.0,158.0,449.0,184.0,110.0,225.0,668.0,249.0,133.0,412.0,120.0,297.0,2018
"Landau in der Pfalz, kreisfreie Stadt",2409.0,2.0,137.0,24.0,12.0,190.0,526.0,47.0,182.0,99.0,66.0,124.0,370.0,125.0,80.0,220.0,58.0,147.0,2018
"Ludwigshafen am Rhein, kreisfreie Stadt",5530.0,1.0,254.0,54.0,15.0,681.0,971.0,259.0,564.0,191.0,108.0,199.0,651.0,423.0,150.0,496.0,125.0,388.0,2018
"Mainz, kreisfreie Stadt",10402.0,4.0,364.0,64.0,23.0,664.0,1562.0,355.0,722.0,636.0,256.0,1006.0,1800.0,652.0,279.0,799.0,433.0,783.0,2018
"Neustadt an der Weinstraße, kreisfreie Stadt",2725.0,0.0,140.0,27.0,7.0,286.0,527.0,66.0,215.0,92.0,67.0,116.0,447.0,144.0,82.0,226.0,86.0,197.0,2018
"Pirmasens, kreisfreie Stadt",2028.0,0.0,164.0,14.0,9.0,186.0,529.0,59.0,160.0,47.0,52.0,92.0,236.0,101.0,33.0,181.0,46.0,119.0,2018
"Speyer, kreisfreie Stadt",2596.0,4.0,149.0,18.0,10.0,221.0,568.0,76.0,234.0,73.0,68.0,108.0,353.0,155.0,77.0,206.0,84.0,192.0,2018
"Worms, kreisfreie Stadt",3507.0,2.0,210.0,31.0,12.0,427.0,711.0,135.0,284.0,114.0,77.0,151.0,433.0,217.0,83.0,250.0,143.0,227.0,2018
"Zweibrücken, kreisfreie Stadt",1458.0,2.0,100.0,15.0,9.0,118.0,366.0,44.0,114.0,47.0,40.0,61.0,165.0,78.0,51.0,129.0,42.0,77.0,2018
"Alzey-Worms, Landkreis",5254.0,5.0,383.0,247.0,18.0,660.0,1021.0,172.0,371.0,185.0,118.0,169.0,631.0,406.0,159.0,280.0,130.0,299.0,2018
"Bad Dürkheim, Landkreis",5955.0,1.0,396.0,87.0,17.0,693.0,1179.0,172.0,620.0,168.0,132.0,242.0,831.0,381.0,182.0,373.0,152.0,329.0,2018
Donnersbergkreis,2787.0,4.0,260.0,103.0,16.0,325.0,547.0,90.0,228.0,59.0,58.0,84.0,319.0,183.0,111.0,188.0,62.0,150.0,2018
"Germersheim, Landkreis",4936.0,13.0,349.0,84.0,33.0,615.0,1034.0,182.0,416.0,157.0,113.0,144.0,534.0,286.0,189.0,302.0,156.0,329.0,2018
"Kaiserslautern, Landkreis",4022.0,2.0,275.0,95.0,32.0,592.0,834.0,113.0,378.0,82.0,101.0,151.0,411.0,218.0,128.0,277.0,82.0,251.0,2018
"Kusel, Landkreis",2210.0,2.0,173.0,56.0,17.0,322.0,488.0,65.0,185.0,39.0,55.0,48.0,205.0,104.0,96.0,176.0,47.0,132.0,2018
"Südliche Weinstraße, Landkreis",4779.0,2.0,407.0,134.0,27.0,575.0,962.0,105.0,556.0,127.0,127.0,156.0,507.0,252.0,153.0,289.0,134.0,266.0,2018
Rhein-Pfalz-Kreis,5584.0,6.0,374.0,85.0,38.0,778.0,1143.0,240.0,414.0,177.0,127.0,181.0,660.0,368.0,173.0,335.0,133.0,352.0,2018
"Mainz-Bingen, Landkreis",9095.0,4.0,529.0,129.0,27.0,1114.0,1548.0,278.0,716.0,427.0,218.0,360.0,1422.0,597.0,300.0,554.0,294.0,578.0,2018
"Südwestpfalz, Landkreis",3517.0,1.0,336.0,63.0,12.0,522.0,806.0,94.0,344.0,91.0,74.0,103.0,328.0,181.0,108.0,202.0,62.0,190.0,2018
"Koblenz, kreisfreie Stadt",5708.0,1.0,210.0,25.0,19.0,374.0,1117.0,253.0,490.0,263.0,145.0,346.0,857.0,346.0,168.0,533.0,187.0,374.0,2019
"Ahrweiler, Landkreis",6317.0,7.0,469.0,72.0,26.0,821.0,1216.0,186.0,645.0,200.0,142.0,247.0,699.0,436.0,172.0,405.0,206.0,368.0,2019
"Altenkirchen (Westerwald), Landkreis",5220.0,1.0,581.0,87.0,28.0,680.0,1033.0,139.0,316.0,138.0,148.0,237.0,574.0,306.0,163.0,347.0,104.0,338.0,2019
"Bad Kreuznach, Landkreis",6902.0,6.0,496.0,96.0,28.0,766.0,1392.0,201.0,568.0,205.0,174.0,314.0,879.0,436.0,217.0,482.0,195.0,447.0,2019
"Birkenfeld, Landkreis",3697.0,2.0,511.0,45.0,24.0,363.0,972.0,76.0,283.0,59.0,94.0,131.0,297.0,173.0,95.0,254.0,88.0,230.0,2019
"Cochem-Zell, Landkreis",2996.0,1.0,214.0,91.0,4.0,342.0,621.0,84.0,577.0,66.0,59.0,94.0,201.0,153.0,74.0,202.0,46.0,167.0,2019
"Mayen-Koblenz, Landkreis",9141.0,24.0,776.0,147.0,30.0,1050.0,2003.0,342.0,693.0,245.0,253.0,384.0,1020.0,548.0,257.0,621.0,230.0,518.0,2019
"Neuwied, Landkreis",8349.0,8.0,714.0,100.0,34.0,1087.0,1728.0,268.0,516.0,259.0,185.0,325.0,1028.0,550.0,222.0,590.0,235.0,500.0,2019
Rhein-Hunsrück-Kreis,4799.0,2.0,384.0,129.0,19.0,675.0,937.0,169.0,430.0,126.0,114.0,214.0,538.0,281.0,145.0,286.0,112.0,238.0,2019
Rhein-Lahn-Kreis,5157.0,4.0,419.0,94.0,25.0,581.0,912.0,144.0,480.0,134.0,125.0,177.0,642.0,372.0,166.0,380.0,153.0,349.0,2019
Westerwaldkreis,9385.0,24.0,1012.0,142.0,35.0,1209.0,1904.0,268.0,553.0,301.0,238.0,406.0,1172.0,582.0,286.0,560.0,190.0,503.0,2019
"Trier, kreisfreie Stadt",4959.0,2.0,238.0,51.0,17.0,284.0,1103.0,121.0,463.0,154.0,150.0,300.0,718.0,262.0,149.0,443.0,126.0,378.0,2019
"Bernkastel-Wittlich, Landkreis",5092.0,8.0,433.0,146.0,18.0,581.0,1022.0,160.0,689.0,84.0,140.0,177.0,477.0,297.0,126.0,352.0,131.0,251.0,2019
Eifelkreis Bitburg-Prüm,4246.0,8.0,368.0,320.0,26.0,487.0,823.0,119.0,441.0,72.0,144.0,179.0,359.0,180.0,110.0,228.0,122.0,260.0,2019
"Vulkaneifel, Landkreis",2723.0,10.0,259.0,93.0,11.0,317.0,579.0,85.0,285.0,47.0,70.0,86.0,255.0,144.0,78.0,167.0,87.0,150.0,2019
"Trier-Saarburg, Landkreis",5156.0,8.0,430.0,93.0,24.0,686.0,974.0,156.0,537.0,95.0,154.0,240.0,535.0,292.0,151.0,324.0,135.0,322.0,2019
"Frankenthal (Pfalz), kreisfreie Stadt",1889.0,0.0,115.0,12.0,3.0,207.0,397.0,75.0,168.0,41.0,36.0,89.0,225.0,112.0,44.0,172.0,53.0,140.0,2019
"Kaiserslautern, kreisfreie Stadt",4656.0,2.0,211.0,47.0,8.0,306.0,956.0,153.0,460.0,187.0,112.0,283.0,673.0,253.0,133.0,425.0,127.0,320.0,2019
"Landau in der Pfalz, kreisfreie Stadt",2516.0,2.0,138.0,29.0,14.0,203.0,520.0,54.0,186.0,95.0,67.0,128.0,389.0,147.0,82.0,229.0,64.0,169.0,2019
"Ludwigshafen am Rhein, kreisfreie Stadt",5744.0,3.0,254.0,52.0,14.0,701.0,981.0,249.0,597.0,194.0,113.0,239.0,661.0,440.0,164.0,520.0,149.0,413.0,2019
"Mainz, kreisfreie Stadt",10526.0,3.0,358.0,75.0,22.0,663.0,1570.0,353.0,744.0,622.0,282.0,937.0,1802.0,674.0,291.0,848.0,454.0,828.0,2019
"Neustadt an der Weinstraße, kreisfreie Stadt",2818.0,0.0,153.0,29.0,8.0,288.0,530.0,72.0,226.0,96.0,70.0,133.0,460.0,151.0,76.0,230.0,89.0,207.0,2019
"Pirmasens, kreisfreie Stadt",2083.0,0.0,148.0,17.0,9.0,194.0,531.0,59.0,163.0,47.0,62.0,115.0,228.0,105.0,35.0,188.0,50.0,132.0,2019
"Speyer, kreisfreie Stadt",2656.0,4.0,149.0,17.0,9.0,216.0,561.0,75.0,243.0,70.0,77.0,140.0,352.0,160.0,79.0,216.0,84.0,204.0,2019
"Worms, kreisfreie Stadt",3578.0,3.0,206.0,34.0,13.0,435.0,696.0,136.0,297.0,117.0,83.0,152.0,432.0,224.0,88.0,264.0,147.0,251.0,2019
"Zweibrücken, kreisfreie Stadt",1506.0,2.0,98.0,16.0,9.0,124.0,374.0,45.0,118.0,55.0,40.0,67.0,162.0,81.0,49.0,135.0,44.0,87.0,2019
"Alzey-Worms, Landkreis",5452.0,5.0,380.0,242.0,20.0,678.0,1017.0,183.0,403.0,191.0,117.0,181.0,648.0,435.0,166.0,299.0,141.0,346.0,2019
"Bad Dürkheim, Landkreis",6146.0,1.0,397.0,91.0,16.0,701.0,1187.0,173.0,646.0,173.0,148.0,263.0,851.0,390.0,180.0,412.0,167.0,350.0,2019
Donnersbergkreis,2936.0,2.0,253.0,114.0,15.0,356.0,534.0,94.0,227.0,66.0,68.0,113.0,313.0,205.0,105.0,224.0,75.0,172.0,2019
"Germersheim, Landkreis",5060.0,14.0,356.0,86.0,33.0,623.0,1021.0,188.0,441.0,157.0,127.0,150.0,538.0,308.0,197.0,322.0,158.0,341.0,2019
"Kaiserslautern, Landkreis",4193.0,1.0,274.0,109.0,35.0,609.0,842.0,129.0,390.0,92.0,113.0,179.0,403.0,224.0,134.0,300.0,84.0,275.0,2019
"Kusel, Landkreis",2307.0,2.0,178.0,60.0,17.0,310.0,495.0,65.0,179.0,41.0,58.0,67.0,216.0,118.0,93.0,196.0,62.0,150.0,2019
"Südliche Weinstraße, Landkreis",4888.0,1.0,409.0,128.0,27.0,574.0,967.0,105.0,565.0,130.0,139.0,156.0,525.0,272.0,166.0,306.0,132.0,286.0,2019
Rhein-Pfalz-Kreis,5779.0,6.0,373.0,90.0,39.0,832.0,1151.0,235.0,401.0,200.0,140.0,225.0,664.0,383.0,170.0,363.0,147.0,360.0,2019
"Mainz-Bingen, Landkreis",9239.0,4.0,522.0,135.0,31.0,1135.0,1534.0,277.0,703.0,422.0,234.0,377.0,1445.0,628.0,294.0,598.0,302.0,598.0,2019
"Südwestpfalz, Landkreis",3592.0,1.0,321.0,62.0,13.0,498.0,823.0,92.0,349.0,97.0,81.0,114.0,332.0,201.0,107.0,219.0,79.0,203.0,2019
"Koblenz, kreisfreie Stadt",5462.0,1.0,204.0,22.0,19.0,374.0,1078.0,251.0,443.0,266.0,143.0,335.0,814.0,319.0,160.0,522.0,164.0,347.0,2020
"Ahrweiler, Landkreis",6035.0,7.0,454.0,66.0,26.0,849.0,1143.0,182.0,588.0,194.0,122.0,247.0,672.0,422.0,163.0,411.0,172.0,317.0,2020
"Altenkirchen (Westerwald), Landkreis",4983.0,1.0,566.0,82.0,30.0,674.0,1008.0,138.0,273.0,136.0,147.0,246.0,521.0,292.0,151.0,328.0,93.0,297.0,2020
"Bad Kreuznach, Landkreis",6519.0,5.0,476.0,83.0,27.0,737.0,1318.0,204.0,505.0,192.0,181.0,296.0,820.0,418.0,216.0,474.0,161.0,406.0,2020
"Birkenfeld, Landkreis",3496.0,3.0,482.0,38.0,24.0,365.0,930.0,70.0,250.0,62.0,83.0,128.0,280.0,166.0,85.0,249.0,71.0,210.0,2020
"Cochem-Zell, Landkreis",2850.0,1.0,209.0,81.0,5.0,349.0,600.0,85.0,523.0,62.0,58.0,91.0,194.0,137.0,70.0,202.0,40.0,143.0,2020
"Mayen-Koblenz, Landkreis",8794.0,25.0,753.0,125.0,32.0,1037.0,1921.0,339.0,606.0,241.0,253.0,388.0,994.0,540.0,251.0,624.0,190.0,475.0,2020
"Neuwied, Landkreis",8039.0,8.0,677.0,94.0,34.0,1102.0,1662.0,263.0,480.0,250.0,190.0,340.0,970.0,531.0,218.0,584.0,204.0,432.0,2020
Rhein-Hunsrück-Kreis,4568.0,2.0,362.0,95.0,19.0,666.0,907.0,165.0,386.0,122.0,115.0,216.0,514.0,273.0,140.0,282.0,83.0,221.0,2020
Rhein-Lahn-Kreis,4928.0,4.0,391.0,73.0,23.0,594.0,890.0,142.0,437.0,139.0,123.0,173.0,591.0,364.0,156.0,372.0,130.0,326.0,2020
Westerwaldkreis,9086.0,19.0,970.0,126.0,37.0,1202.0,1885.0,259.0,499.0,291.0,241.0,412.0,1124.0,560.0,269.0,552.0,167.0,473.0,2020
"Trier, kreisfreie Stadt",4717.0,2.0,230.0,49.0,17.0,280.0,1039.0,108.0,446.0,149.0,152.0,307.0,671.0,240.0,131.0,428.0,112.0,356.0,2020
"Bernkastel-Wittlich, Landkreis",4821.0,8.0,422.0,125.0,19.0,559.0,952.0,159.0,626.0,85.0,134.0,178.0,456.0,298.0,114.0,344.0,102.0,240.0,2020
Eifelkreis Bitburg-Prüm,3961.0,7.0,341.0,263.0,25.0,488.0,767.0,114.0,378.0,71.0,143.0,186.0,348.0,177.0,107.0,222.0,96.0,228.0,2020
"Vulkaneifel, Landkreis",2605.0,10.0,252.0,71.0,11.0,319.0,559.0,78.0,269.0,51.0,67.0,93.0,248.0,132.0,75.0,161.0,74.0,135.0,2020
"Trier-Saarburg, Landkreis",4908.0,8.0,421.0,87.0,24.0,693.0,926.0,149.0,493.0,96.0,156.0,244.0,500.0,264.0,148.0,321.0,105.0,273.0,2020
"Frankenthal (Pfalz), kreisfreie Stadt",1784.0,0.0,108.0,13.0,3.0,209.0,372.0,70.0,156.0,36.0,30.0,86.0,211.0,108.0,44.0,173.0,45.0,120.0,2020
"Kaiserslautern, kreisfreie Stadt",4391.0,2.0,197.0,41.0,8.0,290.0,900.0,135.0,411.0,185.0,113.0,277.0,631.0,238.0,125.0,424.0,116.0,298.0,2020
"Landau in der Pfalz, kreisfreie Stadt",2419.0,2.0,132.0,25.0,14.0,207.0,506.0,44.0,169.0,94.0,63.0,120.0,378.0,152.0,82.0,225.0,58.0,148.0,2020
"Ludwigshafen am Rhein, kreisfreie Stadt",5416.0,2.0,240.0,40.0,13.0,688.0,913.0,248.0,520.0,196.0,120.0,233.0,599.0,449.0,159.0,510.0,128.0,358.0,2020
"Mainz, kreisfreie Stadt",10044.0,2.0,343.0,61.0,20.0,646.0,1524.0,336.0,677.0,618.0,269.0,940.0,1688.0,638.0,270.0,842.0,390.0,780.0,2020
"Neustadt an der Weinstraße, kreisfreie Stadt",2681.0,0.0,150.0,22.0,6.0,272.0,508.0,71.0,210.0,90.0,66.0,131.0,422.0,157.0,81.0,225.0,79.0,191.0,2020
"Pirmasens, kreisfreie Stadt",1985.0,0.0,150.0,13.0,9.0,187.0,507.0,58.0,144.0,42.0,60.0,114.0,211.0,107.0,30.0,187.0,43.0,123.0,2020
"Speyer, kreisfreie Stadt",2544.0,4.0,137.0,17.0,7.0,230.0,521.0,76.0,219.0,74.0,77.0,140.0,331.0,155.0,77.0,222.0,75.0,182.0,2020
"Worms, kreisfreie Stadt",3430.0,3.0,201.0,30.0,13.0,430.0,668.0,145.0,266.0,111.0,80.0,155.0,412.0,227.0,77.0,256.0,119.0,237.0,2020
"Zweibrücken, kreisfreie Stadt",1454.0,1.0,93.0,12.0,8.0,130.0,382.0,47.0,117.0,41.0,38.0,67.0,143.0,75.0,43.0,131.0,40.0,86.0,2020
"Alzey-Worms, Landkreis",5171.0,5.0,355.0,204.0,21.0,678.0,986.0,175.0,326.0,177.0,118.0,179.0,608.0,430.0,162.0,306.0,112.0,329.0,2020
"Bad Dürkheim, Landkreis",5797.0,1.0,383.0,72.0,17.0,697.0,1130.0,162.0,555.0,149.0,154.0,272.0,797.0,365.0,166.0,408.0,143.0,326.0,2020
Donnersbergkreis,2739.0,3.0,245.0,96.0,14.0,326.0,504.0,83.0,191.0,68.0,68.0,108.0,302.0,200.0,100.0,215.0,61.0,155.0,2020
"Germersheim, Landkreis",4811.0,13.0,340.0,72.0,34.0,617.0,960.0,170.0,392.0,156.0,128.0,155.0,517.0,308.0,183.0,332.0,125.0,309.0,2020
"Kaiserslautern, Landkreis",3971.0,1.0,265.0,89.0,36.0,609.0,796.0,124.0,335.0,83.0,113.0,180.0,377.0,228.0,134.0,294.0,62.0,245.0,2020
"Kusel, Landkreis",2142.0,5.0,159.0,46.0,16.0,300.0,480.0,63.0,148.0,37.0,54.0,65.0,190.0,111.0,88.0,197.0,44.0,139.0,2020
"Südliche Weinstraße, Landkreis",4622.0,2.0,382.0,104.0,26.0,580.0,915.0,107.0,515.0,118.0,143.0,158.0,496.0,265.0,162.0,294.0,105.0,250.0,2020
Rhein-Pfalz-Kreis,5435.0,6.0,361.0,82.0,36.0,808.0,1082.0,230.0,351.0,182.0,143.0,223.0,618.0,369.0,161.0,353.0,124.0,306.0,2020
"Mainz-Bingen, Landkreis",8751.0,5.0,489.0,115.0,28.0,1129.0,1499.0,268.0,641.0,387.0,223.0,367.0,1311.0,624.0,283.0,591.0,252.0,539.0,2020
"Südwestpfalz, Landkreis",3382.0,1.0,309.0,58.0,14.0,500.0,761.0,86.0,292.0,87.0,79.0,114.0,324.0,201.0,102.0,214.0,62.0,178.0,2020
"Koblenz, kreisfreie Stadt",5523.0,1.0,205.0,24.0,20.0,374.0,1054.0,252.0,410.0,258.0,143.0,379.0,861.0,305.0,163.0,567.0,157.0,350.0,2021
"Ahrweiler, Landkreis",5920.0,8.0,446.0,67.0,23.0,840.0,1120.0,184.0,522.0,194.0,122.0,264.0,682.0,420.0,158.0,431.0,162.0,277.0,2021
"Altenkirchen (Westerwald), Landkreis",5013.0,1.0,562.0,86.0,30.0,688.0,982.0,129.0,263.0,138.0,141.0,284.0,534.0,312.0,156.0,344.0,86.0,277.0,2021
"Bad Kreuznach, Landkreis",6510.0,5.0,464.0,80.0,26.0,739.0,1302.0,192.0,489.0,185.0,171.0,325.0,823.0,421.0,228.0,513.0,151.0,396.0,2021
"Birkenfeld, Landkreis",3456.0,3.0,468.0,38.0,22.0,357.0,896.0,72.0,240.0,65.0,84.0,137.0,294.0,166.0,83.0,265.0,67.0,199.0,2021
"Cochem-Zell, Landkreis",2821.0,1.0,203.0,87.0,5.0,338.0,589.0,85.0,512.0,56.0,57.0,96.0,188.0,134.0,77.0,209.0,40.0,144.0,2021
"Mayen-Koblenz, Landkreis",8775.0,24.0,738.0,126.0,34.0,1044.0,1877.0,317.0,585.0,258.0,230.0,431.0,1005.0,550.0,249.0,663.0,187.0,457.0,2021
"Neuwied, Landkreis",8007.0,7.0,660.0,101.0,34.0,1071.0,1611.0,251.0,439.0,255.0,180.0,391.0,1009.0,544.0,218.0,608.0,187.0,441.0,2021
Rhein-Hunsrück-Kreis,4568.0,3.0,357.0,101.0,19.0,679.0,894.0,162.0,359.0,117.0,114.0,229.0,519.0,283.0,132.0,301.0,83.0,216.0,2021
Rhein-Lahn-Kreis,4857.0,4.0,372.0,82.0,20.0,577.0,866.0,143.0,406.0,142.0,114.0,202.0,572.0,377.0,155.0,383.0,123.0,319.0,2021
Westerwaldkreis,9075.0,17.0,943.0,124.0,37.0,1226.0,1887.0,260.0,456.0,293.0,230.0,450.0,1114.0,596.0,267.0,569.0,170.0,436.0,2021
"Trier, kreisfreie Stadt",4756.0,2.0,223.0,51.0,19.0,288.0,1019.0,112.0,424.0,154.0,147.0,335.0,683.0,231.0,128.0,474.0,106.0,360.0,2021
"Bernkastel-Wittlich, Landkreis",4856.0,8.0,423.0,137.0,19.0,566.0,950.0,150.0,603.0,88.0,138.0,219.0,453.0,302.0,119.0,352.0,98.0,231.0,2021
Eifelkreis Bitburg-Prüm,3950.0,8.0,336.0,263.0,22.0,478.0,768.0,114.0,366.0,77.0,129.0,208.0,344.0,191.0,107.0,240.0,84.0,215.0,2021
"Vulkaneifel, Landkreis",2630.0,9.0,244.0,86.0,11.0,329.0,550.0,76.0,258.0,51.0,64.0,101.0,259.0,147.0,75.0,173.0,67.0,130.0,2021
"Trier-Saarburg, Landkreis",4922.0,8.0,400.0,100.0,25.0,687.0,928.0,139.0,459.0,103.0,154.0,263.0,512.0,284.0,146.0,345.0,92.0,277.0,2021
"Frankenthal (Pfalz), kreisfreie Stadt",1792.0,0.0,103.0,12.0,2.0,219.0,374.0,69.0,136.0,36.0,31.0,103.0,219.0,116.0,46.0,171.0,39.0,116.0,2021
"Kaiserslautern, kreisfreie Stadt",4393.0,2.0,191.0,41.0,8.0,305.0,893.0,145.0,393.0,181.0,113.0,302.0,637.0,227.0,120.0,436.0,108.0,291.0,2021
"Landau in der Pfalz, kreisfreie Stadt",2436.0,3.0,127.0,31.0,12.0,200.0,500.0,46.0,158.0,97.0,65.0,159.0,372.0,151.0,73.0,242.0,55.0,145.0,2021
"Ludwigshafen am Rhein, kreisfreie Stadt",5507.0,1.0,234.0,35.0,12.0,698.0,909.0,252.0,471.0,196.0,125.0,314.0,580.0,458.0,155.0,579.0,131.0,357.0,2021
"Mainz, kreisfreie Stadt",10187.0,2.0,335.0,69.0,22.0,655.0,1506.0,311.0,665.0,605.0,250.0,1023.0,1728.0,634.0,265.0,978.0,383.0,756.0,2021
"Neustadt an der Weinstraße, kreisfreie Stadt",2683.0,0.0,146.0,25.0,6.0,279.0,510.0,67.0,200.0,88.0,64.0,148.0,415.0,165.0,79.0,232.0,76.0,183.0,2021
"Pirmasens, kreisfreie Stadt",1941.0,0.0,144.0,15.0,9.0,185.0,499.0,56.0,134.0,43.0,56.0,113.0,215.0,98.0,30.0,191.0,39.0,114.0,2021
"Speyer, kreisfreie Stadt",2545.0,4.0,130.0,16.0,8.0,225.0,523.0,81.0,209.0,81.0,76.0,151.0,331.0,144.0,76.0,244.0,79.0,167.0,2021
"Worms, kreisfreie Stadt",3438.0,3.0,189.0,33.0,14.0,429.0,671.0,145.0,263.0,110.0,81.0,192.0,402.0,221.0,74.0,266.0,111.0,234.0,2021
"Zweibrücken, kreisfreie Stadt",1460.0,1.0,96.0,11.0,9.0,132.0,365.0,47.0,113.0,44.0,37.0,78.0,151.0,79.0,46.0,141.0,35.0,75.0,2021
"Alzey-Worms, Landkreis",5215.0,4.0,355.0,203.0,21.0,673.0,982.0,180.0,314.0,179.0,123.0,214.0,620.0,451.0,162.0,319.0,109.0,306.0,2021
"Bad Dürkheim, Landkreis",5839.0,1.0,379.0,72.0,16.0,689.0,1125.0,158.0,528.0,158.0,144.0,317.0,795.0,371.0,177.0,444.0,146.0,319.0,2021
Donnersbergkreis,2796.0,1.0,247.0,91.0,13.0,323.0,527.0,87.0,183.0,65.0,68.0,140.0,293.0,201.0,111.0,224.0,63.0,159.0,2021
"Germersheim, Landkreis",4798.0,13.0,329.0,72.0,34.0,602.0,960.0,177.0,357.0,156.0,117.0,223.0,510.0,317.0,184.0,340.0,121.0,286.0,2021
"Kaiserslautern, Landkreis",4004.0,1.0,265.0,97.0,34.0,613.0,806.0,126.0,315.0,83.0,105.0,193.0,377.0,243.0,137.0,312.0,58.0,239.0,2021
"Kusel, Landkreis",2154.0,4.0,155.0,49.0,17.0,291.0,477.0,63.0,143.0,37.0,53.0,73.0,193.0,121.0,82.0,214.0,45.0,137.0,2021
"Südliche Weinstraße, Landkreis",4663.0,2.0,384.0,113.0,24.0,584.0,914.0,99.0,487.0,119.0,137.0,197.0,508.0,279.0,163.0,313.0,103.0,237.0,2021
Rhein-Pfalz-Kreis,5450.0,5.0,356.0,79.0,37.0,809.0,1074.0,236.0,327.0,174.0,149.0,265.0,626.0,393.0,152.0,366.0,117.0,285.0,2021
"Mainz-Bingen, Landkreis",8810.0,5.0,481.0,117.0,27.0,1128.0,1483.0,247.0,604.0,382.0,230.0,435.0,1338.0,634.0,286.0,643.0,248.0,522.0,2021
"Südwestpfalz, Landkreis",3374.0,2.0,314.0,63.0,14.0,494.0,735.0,84.0,277.0,90.0,74.0,121.0,329.0,215.0,104.0,222.0,55.0,181.0,2021
